Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C14, C17, C2, C22, C23, C3, C4, C5, C6, C7, C9",0402,14,0.1u,
"C11, C20, C21, C8",0402,4,1u,
"C13, C18, C19",0402,3,10u,
"C15, C16",0402,2,27p,
D1,0603,1,LED,
D2,D_SMA,1,SS14,
"D3, D4, D5",D_SOD-882,3,D,
IC2,QFN50P400X400X90-25N-D,1,STUSB4700YQTR,
"J1, J3",USB_C_Receptacle_G-Switch_GT-USB-7010ASV,2,USB_C_Receptacle_USB2.0_16P,
J2,Hirose_FH12-12S-0.5SH_1x12-1MP_P0.50mm_Horizontal,1,Conn_01x12_Socket,
L1,0805,1,1.5u,
"Q1, Q2, Q3",SOT-23,3,AO3401A,
"R1, R2",0402,2,27,
R10,0402,1,2k2,
"R11, R12, R8, R9",0402,4,10k,
"R13, R14",0402,2,5.1k,
"R15, R16",0402,2,4.7k,
"R17, R3",0603,2,NC,
R18,0402,1,10,
R4,0402,1,100k,
"R5, R6, R7",0402,3,1k,
"SW1, SW2",ABMM2,2,SW_MEC_5E,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U3,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm,1,TPS63031DSK,
U4,WQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x2.9mm,1,FXMA108,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
